benchmark,suite,executor,commit,total_split_count,unforced_split_count,node_created_splitting,node_created_nosplitting
LiquidMiddleware,ruby-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,31069,30841,27639,155726
DeltaBlue,game-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,5125,5093,2376,8074
Storage,game-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3468,3412,2793,32774
HexaPdfSmall,yjit-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,42482,42234,36428,140821
RubykonBench,yjit-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,8386,8324,4443,12164
LiquidMiddleware,ruby-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,9486,9403,5978,97970
RedBlack,ruby-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,4241,4213,1369,6829
Pidigits,ruby-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3282,3263,662,4853
List,game-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3282,3263,662,4757
AsciidoctorLoadFileSmall,ruby-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,13657,13549,10022,41823
List,game-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3282,3263,662,4757
AsciidoctorLoadFileSmall,ruby-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,14378,14269,10735,42158
NeuralNet,game-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,5565,5516,1969,6802
Storage,game-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3332,3311,686,4888
ImageDemoSobel,ruby-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3363,3340,706,6212
List,game-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3418,3364,2769,32643
LiquidMiddleware,ruby-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,9479,9396,5971,97970
NeuralNet,game-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,5565,5516,1969,6802
