benchmark,suite,executor,commit,total_split_count,unforced_split_count,node_created_splitting,node_created_nosplitting
FannkuchRedux,yjit-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,3008,2985,863,5564
SpectralNorm,game-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,3276,3245,1088,5592
FannkuchRedux,yjit-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,3008,2985,863,5564
ImageDemoConv,ruby-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,3027,2962,2289,33807
NBody,game-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,2848,2825,780,5376
SinatraHello,ruby-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,73892,73278,59449,297316
SinatraHello,ruby-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,70390,69739,57325,324812
SpectralNorm,game-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,3276,3245,1088,5592
SpectralNorm,game-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,3327,3254,2477,33478
NBody,game-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,2899,2834,2169,33262
CD,game-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,3356,3283,2577,35528
Queens,game-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,3000,2975,836,4788
RubykonBench,yjit-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,15727,15632,11411,12164
DeltaBlue,game-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,7723,7639,6813,35960
NeuralNet,game-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,7399,7277,5027,34688
RedBlack,ruby-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,4419,4391,2131,6829
Storage,game-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,2867,2845,794,4888
Pidigits,ruby-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,2750,2731,714,4853
Richards,game-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,2941,2919,841,6381
Richards,game-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,2992,2928,2230,34267
Storage,game-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,2918,2854,2183,32774
Pidigits,ruby-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,2801,2740,2103,32739
ImageDemoSobel,ruby-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,2898,2874,814,6212
NeuralNet,game-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,7348,7268,3638,6802
List,game-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,2750,2731,714,4757
Storage,game-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,2867,2845,794,4888
